,tournament,section,round,bd,res,white,res.1,black
0,2025 George O'Rourke Memorial,u1600,round4,11.0,1,Mariano Rivera (1745 0.0),0.0,Emily Gawboy (1286 0.0)
1,2025 George O'Rourke Memorial,u1600,round4,12.0,0,Albenie Allain (1089 0.0),1.0,Gary Brassard (1700 0.0)
2,2025 George O'Rourke Memorial,u1600,round4,13.0,1,Michael David (1661 0.0),0.0,James Essary (1068 0.0)
3,2025 George O'Rourke Memorial,u1600,round4,14.0,0,Brian Smith ( 957 0.0),1.0,Ansh Nandurbarkar (1646 0.0)
4,2025 George O'Rourke Memorial,u1600,round4,15.0,1,Jim Donahue (1645 0.0),0.0,Paul Leblanc ( 591 0.0)
5,2025 George O'Rourke Memorial,u1600,round4,16.0,0,Al Bump ( 562 0.0),1.0,Larry Spencer (1637 0.0)
6,2025 George O'Rourke Memorial,u1600,round4,17.0,1,Ken Gurge (1628 0.0),0.0,Paul Soltysiak ( 380 0.0)
7,2025 George O'Rourke Memorial,u1600,round4,18.0,0,Peter Smith ( 279 0.0),1.0,George Jordy (1624 0.0)
8,2025 George O'Rourke Memorial,u1600,round4,19.0,1,Matt Phelps (1613 0.0),0.0,Patrick Smith ( 102 0.0)
9,2025 George O'Rourke Memorial,u1600,round4,,½,Paul Lynch (1583 0.0),,BYE
10,2025 George O'Rourke Memorial,u1600,round4,,½,Sam Park (1463 0.0),,BYE
11,2025 George O'Rourke Memorial,u1600,round4,,½,Bob Anderson (1436 0.0),,BYE
12,2025 George O'Rourke Memorial,u1600,round4,,½,Mark Wheeler (1418 0.0),,BYE
